latitude (deg)	longitude (deg)	altitude (m)
41.5698305	2.260966291	120.3
41.5697909	2.260929481	120.3
41.5696797	2.260841631	120.2
41.56961953	2.260789248	120.3
41.56953687	2.260720356	120.4
41.56943597	2.260634972	120.3
41.56934839	2.260560065	120
41.56920239	2.260439733	120
41.56911314	2.260361269	120.1
41.56900571	2.260269936	120
41.56888613	2.260168729	120
41.56873322	2.260044546	120.1
41.56856769	2.259905492	120
41.56837236	2.259738682	120
41.56819574	2.259595066	119.8
41.56800549	2.25943604	119
41.56778821	2.259251303	119
41.56761869	2.259099074	119.1
41.56746366	2.258966944	118.3
41.56722938	2.258764854	117.6
41.56710386	2.258660295	117.1
41.56699694	2.258571053	116.9
41.56687514	2.258480527	116.4
41.56677581	2.258390715	116.1
41.56668106	2.258308363	115.7
41.56658017	2.258233768	114.9
41.56645217	2.258121172	114.7
41.56637793	2.258060931	115
41.56630986	2.258001827	114.9
41.5662507	2.25795183	114.8
41.56619014	2.257906554	114.6
41.56610536	2.257829668	114.2
41.56602384	2.257762667	114
41.56594069	2.257693797	114
41.56584206	2.257611428	114
41.56574153	2.257525016	114
41.56564938	2.2574512	113.9
41.5655427	2.257365679	113.5
41.56545856	2.257283871	113.1
41.56535437	2.257192107	113
41.56527891	2.257141342	113
41.56520406	2.257072786	113
41.56515466	2.257029664	113
41.56511048	2.256994169	113
41.56507176	2.256958227	113
41.56503548	2.256935568	113
41.56499224	2.256897244	112.8
41.56495392	2.256865386	112.7
41.56492429	2.256841545	112.6
41.56488885	2.256809931	112.5
41.56485923	2.256780822	112.4
41.56482667	2.256756104	112.3
41.56479603	2.256731062	112.2
41.56477278	2.256702661	112.1
41.56474587	2.256663777	112
41.56472198	2.256620897	112
41.56471057	2.256585314	112
41.56469885	2.256541103	112.1
41.56468686	2.256487817	112.1
41.56467791	2.256437968	112.2
41.56467336	2.25639107	112.2
41.56468208	2.256349508	112.3
41.56468778	2.256319362	112.3
41.56469786	2.256284847	112.4
41.56471402	2.256249955	112.5
41.56472428	2.256217747	112.6
41.56473983	2.256189017	112.7
41.56475471	2.256155471	112.8
41.56476841	2.256105506	113
41.56478658	2.256064183	113
41.56480779	2.256019221	113
41.56483419	2.255980007	113
41.5648616	2.255924027	113
41.56487875	2.255872549	113
41.56490256	2.255814426	113.1
41.56491913	2.255750887	113.3
41.56493233	2.255686546	113.5
41.56494229	2.255606958	113.8
41.5649471	2.255562875	114
41.56495247	2.255504186	114.2
41.56494618	2.255458763	114.3
41.56494576	2.255402976	114.5
41.56494721	2.255345748	114.8
41.56494736	2.255307331	114.9
41.56492526	2.255242816	115.1
41.56490439	2.255189149	115.3
41.56488944	2.255132902	115.5
41.56486607	2.255066367	115.8
41.56484087	2.255002326	116
41.56481	2.254971611	116.2
41.56477695	2.254900121	116.6
41.56475341	2.25485974	116.7
41.5647219	2.254799911	116.7
41.5646885	2.254738129	117
41.56465485	2.254684688	117.1
41.5646294	2.254617442	117.4
41.56459654	2.254567661	117.6
41.56456701	2.25451879	117.7
41.56453769	2.254467575	117.9
41.56449783	2.254399399	118.3
41.56446185	2.254338335	118.5
41.56442049	2.254246444	118.8
41.56438467	2.254187228	119.2
41.56436483	2.254131689	119.4
41.56433799	2.254073589	119.7
41.56431046	2.254004507	120.1
41.56429863	2.253935206	120.4
41.56427171	2.253844769	120.8
41.564262	2.253762178	121.1
41.56425825	2.253681222	121.4
41.56424336	2.2535871	121.7
